,SepalLength,SepalWidth,PetalLength,PetalWidth,Iris-setosaNameName,Iris-versicolorNameName,Iris-virginicaNameName
0,0.22222222222222213,0.6249999999999999,0.06779661016949151,0.04166666666666667,1,0,0
1,0.1666666666666668,0.41666666666666663,0.06779661016949151,0.04166666666666667,1,0,0
2,0.11111111111111119,0.5,0.05084745762711865,0.04166666666666667,1,0,0
3,0.08333333333333327,0.4583333333333333,0.0847457627118644,0.04166666666666667,1,0,0
4,0.19444444444444448,0.6666666666666666,0.06779661016949151,0.04166666666666667,1,0,0
5,0.30555555555555564,0.7916666666666665,0.11864406779661016,0.12500000000000003,1,0,0
6,0.08333333333333327,0.5833333333333333,0.06779661016949151,0.08333333333333333,1,0,0
7,0.19444444444444448,0.5833333333333333,0.0847457627118644,0.04166666666666667,1,0,0
8,0.027777777777777922,0.3749999999999999,0.06779661016949151,0.04166666666666667,1,0,0
9,0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,1,0,0
10,0.30555555555555564,0.7083333333333333,0.0847457627118644,0.04166666666666667,1,0,0
11,0.13888888888888887,0.5833333333333333,0.1016949152542373,0.04166666666666667,1,0,0
12,0.13888888888888887,0.41666666666666663,0.06779661016949151,0.0,1,0,0
13,0.0,0.41666666666666663,0.016949152542372895,0.0,1,0,0
14,0.41666666666666663,0.8333333333333333,0.033898305084745756,0.04166666666666667,1,0,0
15,0.38888888888888895,1.0,0.0847457627118644,0.12500000000000003,1,0,0
16,0.30555555555555564,0.7916666666666665,0.05084745762711865,0.12500000000000003,1,0,0
17,0.22222222222222213,0.6249999999999999,0.06779661016949151,0.08333333333333333,1,0,0
18,0.38888888888888895,0.7499999999999998,0.11864406779661016,0.08333333333333333,1,0,0
19,0.22222222222222213,0.7499999999999998,0.0847457627118644,0.08333333333333333,1,0,0
20,0.30555555555555564,0.5833333333333333,0.11864406779661016,0.04166666666666667,1,0,0
21,0.22222222222222213,0.7083333333333333,0.0847457627118644,0.12500000000000003,1,0,0
