,min,max,mean,median,var
1,28,77,53.055105348460295,54.0,91.83137405544213
2,0,1,0.8427876823338736,1.0,0.13271169673114566
3,1,4,3.2949756888168555,4.0,0.8349260140183965
4,-9,200,118.85413290113452,130.0,2086.7157012355556
5,-9,603,165.65316045380874,209.0,16271.343792755057
6,-9,1,-1.1620745542949757,0.0,10.632780104822244
7,-9,2,0.3841166936790924,0.0,0.659033025321518
8,-9,190,118.55915721231767,128.0,2171.0845629249197
9,-9,1,-0.4165316045380875,0.0,7.444726262392388
10,-9,5,-0.2706645056726094,0.0,9.399024395377715
11,-9,3,-3.5251215559157214,0.0,30.097176324485886
12,-9,9,-8.811993517017829,-9.0,2.061998779178682
13,-9,7,-5.6191247974068075,-9.0,39.03489338862111
