,min,max,mean,median,var
2,6.981,28.11,14.127291739894563,13.37,12.418920129526725
3,9.71,39.28,19.28964850615117,18.84,18.49890867905146
4,43.79,188.5,91.96903339191566,86.24,590.44047952177
5,143.5,2501.0,654.8891036906857,551.1,123843.55431768096
6,0.052629999999999996,0.1634,0.096360281195079,0.09587000000000001,0.00019779970027290278
7,0.01938,0.3454,0.10434098418277686,0.09262999999999999,0.0027891874004381304
8,0.0,0.4268,0.08879931581722322,0.06154,0.006355247900423132
9,0.0,0.2012,0.048919145869947236,0.0335,0.0015056607691635421
10,0.106,0.304,0.181161862917399,0.1792,0.000751542821171316
11,0.049960000000000004,0.09744,0.06279760984182776,0.06154,4.984872279821282e-05
12,0.1115,2.873,0.4051720562390161,0.3242,0.07690235187622226
13,0.3602,4.885,1.2168534270650269,1.1079999999999999,0.304315949077143
14,0.757,21.98,2.8660592267135288,2.287,4.087895837700807
15,6.8020000000000005,542.2,40.33707908611603,24.53,2069.431582868732
16,0.001713,0.03113,0.007040978910369071,0.006379999999999999,9.01511400307558e-06
17,0.002252,0.1354,0.025478138840070306,0.02045,0.0003207028867606186
18,0.0,0.396,0.03189371634446394,0.025889999999999996,0.0009111982378230941
19,0.0,0.05279,0.011796137082601056,0.01093,3.807241912906256e-05
20,0.007882,0.07895,0.020542298769771532,0.01873,6.833289825212879e-05
21,0.0008948000000000001,0.02984,0.0037949038664323374,0.003187,7.001691562872344e-06
22,7.93,36.04,16.269189806678394,14.97,23.36022417517761
23,12.02,49.54,25.677223198594014,25.41,37.776482768756686
24,50.41,251.2,107.2612126537786,97.66,1129.1308469423745
25,185.2,4254.0,880.5831282952545,686.5,324167.3851021686
26,0.07117000000000001,0.2226,0.13236859402460469,0.1313,0.0005213198325267949
27,0.02729,1.058,0.25426504393673144,0.2119,0.024754770743704038
28,0.0,1.252,0.27218848330404205,0.2267,0.04352409045926074
29,0.0,0.29100000000000004,0.11460622319859404,0.09992999999999999,0.004320740679099747
30,0.1565,0.6638,0.29007557117750454,0.2822,0.003827583539505929
31,0.05504,0.2075,0.08394581722319855,0.08004,0.00032620937824822413
